Date,Open,High,Low,Close,Volume,5 SMA,6 SMA,7 SMA,8 SMA,9 SMA,10 SMA,11 SMA,12 SMA,13 SMA,14 SMA,15 SMA,16 SMA,17 SMA,18 SMA,19 SMA,20 SMA,21 SMA,22 SMA,23 SMA,24 SMA,25 SMA,26 SMA,27 SMA,28 SMA,29 SMA,30 SMA,31 SMA,32 SMA,33 SMA,34 SMA,35 SMA,36 SMA,37 SMA,38 SMA,39 SMA,40 SMA,41 SMA,42 SMA,43 SMA,44 SMA,45 SMA,46 SMA,47 SMA,48 SMA,49 SMA,50 SMA
2021-03-18,1.2155,1.88,1.6551,1.23,112384864.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-19,1.1808,1.396,1.2311,1.3076,166658507.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-20,1.2001,1.345,1.3065,1.2013,121442030.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-21,1.1607,1.2463,1.2013,1.1885,55592643.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-22,1.07,1.2076,1.1885,1.1027,80249983.81,1.20602,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-23,1.082,1.1742,1.1027,1.1178,63714627.98,1.18358,1.1913166666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-24,1.04,1.1686,1.1175,1.0674,60465685.88,1.13554,1.1642166666666667,1.1736142857142855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-25,1.0442,1.1547,1.0691,1.0963,74708052.97,1.1145399999999999,1.1289999999999998,1.1545142857142856,1.16395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-26,1.0944,1.2869,1.0963,1.2144,73745757.07,1.11972,1.1311833333333332,1.1412,1.162,1.1695555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-27,1.1575,1.2415,1.2149,1.1768,47923717.62,1.1345399999999999,1.1292333333333333,1.1377,1.1456499999999998,1.1636444444444445,1.17028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-28,1.1666,1.2188,1.1775,1.1903,39099166.73,1.1490399999999998,1.1438333333333333,1.1379571428571427,1.144275,1.1506111111111113,1.16631,1.1721000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-29,1.1777,1.2294,1.1904,1.2032,43471602.2,1.1762000000000001,1.1580666666666666,1.1523142857142858,1.1461125,1.150822222222222,1.15587,1.1696636363636363,1.1746916666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-30,1.1888,1.2365,1.2032,1.2135,45176667.11,1.19964,1.1824166666666667,1.1659857142857142,1.1599625,1.1536,1.1570899999999997,1.1611090909090909,1.1733166666666666,1.177676923076923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-31,1.1526,1.2138,1.2135,1.1934,46011378.93,1.19544,1.1986,1.1839857142857144,1.1694125,1.1636777777777776,1.1575799999999998,1.160390909090909,1.1638,1.1748615384615384,1.1788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-01,1.171,1.2079,1.1926,1.1842,36842053.16,1.19692,1.1935666666666667,1.1965428571428571,1.1840125,1.1710555555555555,1.16573,1.16,1.162375,1.165369230769231,1.1755285714285715,1.17916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-02,1.18,1.245,1.1842,1.1908,45706769.96,1.19702,1.1959,1.1931714285714285,1.1958250000000001,1.1847666666666667,1.17303,1.1680090909090908,1.1625666666666665,1.1645615384615384,1.1671857142857145,1.1765466666666666,1.1798875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-03,1.1605,1.2413,1.1908,1.1637,51681666.91,1.1891200000000002,1.1914666666666667,1.1913,1.1894874999999998,1.1922555555555556,1.18266,1.1721818181818182,1.1676499999999999,1.162653846153846,1.1645,1.166953333333333,1.1757437499999999,1.178935294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-04,1.1521,1.1941,1.1639,1.1817,25801716.36,1.18276,1.1878833333333334,1.1900714285714287,1.1901,1.1886222222222222,1.1911999999999998,1.1825727272727273,1.1729749999999999,1.1687307692307694,1.1640142857142857,1.1656466666666667,1.167875,1.176094117647059,1.1790888888888889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-05,1.1608,1.2263,1.1823,1.2123,43263805.66,1.1865400000000002,1.1876833333333332,1.1913714285714285,1.19285,1.1925666666666668,1.19099,1.1931181818181817,1.1850500000000002,1.176,1.1718428571428572,1.1672333333333333,1.1685625,1.1704882352941175,1.1781055555555555,1.180836842105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-06,1.1913,1.3423,1.2124,1.2566,91644956.18,1.20102,1.1982166666666667,1.1975285714285715,1.199525,1.199933333333333,1.1989699999999999,1.1969545454545454,1.1984083333333333,1.190553846153846,1.1817571428571427,1.1774933333333333,1.17281875,1.173741176470588,1.175272222222222,1.1822368421052631,1.184625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
