"","Date","Action","Money","Amount","Price","total_fees"
"1","2020-04-01","Start","1000","0","133.805","0"
"2","2020-04-02","BUY","0","7.32628176876745","136.14","2.6"
"3","2020-04-10","SELL","1144.01339430002","0","156.4022222","4.43335479855772"
"4","2020-04-11","BUY","0","7.2156100895573","158.2933333","6.26377622943775"
"5","2020-04-12","SELL","1154.22730803445","0","160.2188889","8.11349947949295"
"6","2020-04-15","BUY","0","7.14590589778878","161.2644444","9.96026317234806"
"7","2020-04-16","SELL","1156.86263461267","0","162.1511111","11.8142097021761"
"8","2020-04-17","BUY","0","6.6859125725036","172.58","14.822052552169"
"9","2020-04-20","SELL","1119.40390702135","0","167.6955556","16.6159690698314"
"10","2020-04-21","BUY","0","6.55257618911379","170.39","19.5264192280869"
"11","2020-04-22","SELL","1125.10172480049","0","171.9788889","21.3294668639851"
"12","2020-04-23","BUY","0","6.12876275432008","183.1","24.2547313484664"
"13","2020-05-04","SELL","1262.27958463895","0","206.29","26.2776152982083"
"14","2020-05-05","BUY","0","6.08426059197485","207.1344444","28.2972626336306"
"15","2020-05-06","SELL","1259.91739099849","0","207.41","30.316361016641"
"16","2020-05-07","BUY","0","6.01390376902427","209.1655556","32.3322288422386"
"17","2020-05-08","SELL","1253.17361073564","0","208.7133333","34.3405198850842"
"18","2020-05-09","BUY","0","5.90557693998455","211.65","37.5987712729969"
"19","2020-05-10","SELL","1217.1115017733","0","206.4255556","39.5492704745566"
"20","2020-05-13","BUY","0","6.06762931727399","200.27","41.4966488773939"
"21","2020-05-14","SELL","1211.85346274227","0","200.0444444","43.4387217343527"
"22","2020-05-15","BUY","0","5.9424908738404","203.4","46.5895407374826"
"23","2020-05-16","SELL","1192.92262069325","0","201.06625","48.5012757065423"
"24","2020-05-17","BUY","0","5.89734941510042","201.9575","50.4099518996515"
"25","2020-05-21","SELL","1206.27649689474","0","204.8733333","52.3430873113418"
"26","2020-05-22","BUY","0","5.85499502401357","205.6955556","54.2731297063734"
"27","2020-05-23","SELL","1204.53691605641","0","206.0577778","56.2034773282586"
"28","2020-05-24","BUY","0","5.81484497398316","206.61","59.3352733100053"
