Date,Open,High,Low,Close,Volume,5 SMA,6 SMA,7 SMA,8 SMA,9 SMA,10 SMA,11 SMA,12 SMA,13 SMA,14 SMA,15 SMA,16 SMA,17 SMA,18 SMA,19 SMA,20 SMA,21 SMA,22 SMA,23 SMA,24 SMA,25 SMA,26 SMA,27 SMA,28 SMA,29 SMA,30 SMA,31 SMA,32 SMA,33 SMA,34 SMA,35 SMA,36 SMA,37 SMA,38 SMA,39 SMA,40 SMA,41 SMA,42 SMA,43 SMA,44 SMA,45 SMA,46 SMA,47 SMA,48 SMA,49 SMA,50 SMA
2021-06-17,38.219,40.5,40.5,39.25,202117.954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-18,35.0,39.45,39.321,36.842,471361.712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-19,34.977,37.361,36.875,35.2,263002.615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-20,31.324,35.954,35.2,35.271,287189.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-21,26.0,35.532,35.286,26.625,836374.38,34.6376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-22,20.181,28.773,26.631,26.982,1438737.713,32.184000000000005,33.36166666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-23,25.682,32.957,26.979,30.838,1145606.989,30.9832,31.959666666666667,33.00114285714286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-24,28.477,33.0,30.851,31.187,883030.908,30.1806,31.017166666666665,31.849285714285713,32.774375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-25,27.93,32.98,31.201,28.646,646762.929,28.8556,29.924833333333336,30.678428571428576,31.448875,32.315666666666665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-26,26.72,30.121,28.6,29.739,469759.094,29.4784,29.00283333333334,29.898285714285716,30.561000000000003,31.258888888888887,32.058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-27,29.205,31.98,29.739,31.92,431491.168,30.466,29.88533333333333,29.419571428571427,30.151,30.712000000000003,31.325,32.04545454545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-28,31.01,34.323,31.935,33.013,459757.887,30.901,30.8905,30.33214285714286,29.868750000000002,30.469,30.942100000000003,31.47845454545455,32.126083333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
